title	author	status	started	finished
Having and Being Had	Eula Biss	read	--	Tue Dec 27 2022 18:00:00 GMT-0600 (Central Standard Time)
A Girl Is a Half-formed Thing	Eimear McBride	read	Sat Mar 28 2015 11:09:19 GMT-0500 (Central Daylight Time)	Sun Dec 25 2022 18:00:00 GMT-0600 (Central Standard Time)
Saga, Volume 10	Brian K. Vaughan	read	--	Mon Dec 19 2022 08:54:47 GMT-0600 (Central Standard Time)
Ducks: Two Years in the Oil Sands	Kate Beaton	read	--	Sat Dec 10 2022 20:44:14 GMT-0600 (Central Standard Time)
When We Cease to Understand the World	Benjamin Labatut	read	--	Sun Nov 27 2022 09:59:30 GMT-0600 (Central Standard Time)
Snow Crash	Neal Stephenson	read	--	Sat Nov 19 2022 18:00:00 GMT-0600 (Central Standard Time)
We Have Always Lived in the Castle	Shirley Jackson	read	Thu Feb 14 2019 17:05:25 GMT-0600 (Central Standard Time)	Sat Nov 05 2022 20:35:38 GMT-0500 (Central Daylight Time)
A Country of Ghosts	Margaret Killjoy	read	--	Sun Oct 16 2022 19:00:00 GMT-0500 (Central Daylight Time)
All Quiet on the Western Front	Erich Maria Remarque	read	--	Sat Oct 08 2022 19:00:00 GMT-0500 (Central Daylight Time)
Propaganda	Edward L. Bernays	read	Sat Aug 29 2020 17:12:11 GMT-0500 (Central Daylight Time)	Mon Oct 03 2022 21:04:15 GMT-0500 (Central Daylight Time)
The Invincible	Stanislaw Lem	read	--	Sat Sep 24 2022 19:00:00 GMT-0500 (Central Daylight Time)
Her Body and Other Parties	Carmen Maria Machado	read	--	Fri Sep 23 2022 07:22:29 GMT-0500 (Central Daylight Time)
On Anarchism	Noam Chomsky	read	--	Fri Sep 09 2022 09:20:57 GMT-0500 (Central Daylight Time)
The Morning Star	Karl Ove Knausgaard	read	--	Sat Sep 03 2022 19:00:00 GMT-0500 (Central Daylight Time)
Decline and Fall	Evelyn Waugh	read	--	Wed Aug 24 2022 19:00:00 GMT-0500 (Central Daylight Time)
The Cabin at the End of the World	Paul Tremblay	read	Mon Sep 20 2021 20:29:46 GMT-0500 (Central Daylight Time)	Fri Aug 19 2022 21:07:27 GMT-0500 (Central Daylight Time)
Pere Goriot	Honoré de Balzac	read	--	Tue Aug 16 2022 22:01:42 GMT-0500 (Central Daylight Time)
Exercises in Style	Raymond Queneau	read	Wed Jan 27 2021 19:29:06 GMT-0600 (Central Standard Time)	Wed Aug 10 2022 19:00:00 GMT-0500 (Central Daylight Time)
The Anthropocene Reviewed	John Green	read	--	Fri Aug 05 2022 19:00:00 GMT-0500 (Central Daylight Time)
Forever someone else	Fernando Pessoa	read	--	Sun Jul 31 2022 16:42:46 GMT-0500 (Central Daylight Time)
Scale	Geoffrey West	read	--	Fri Jul 29 2022 10:09:30 GMT-0500 (Central Daylight Time)
Machete	Tomás Q. Morín	read	--	Fri Jul 22 2022 08:10:05 GMT-0500 (Central Daylight Time)
Invisible Man	Ralph Ellison	read	--	Wed Jul 20 2022 08:26:32 GMT-0500 (Central Daylight Time)
Nostromo	Joseph Conrad	read	Sat Feb 03 2018 21:44:10 GMT-0600 (Central Standard Time)	Thu Jun 23 2022 19:00:00 GMT-0500 (Central Daylight Time)
Consider the Lobster	David Foster Wallace	read	--	Thu Jun 02 2022 19:00:00 GMT-0500 (Central Daylight Time)
Beyond the Beyond	Poul Anderson	read	Tue Apr 26 2022 17:23:24 GMT-0500 (Central Daylight Time)	Thu May 19 2022 15:00:36 GMT-0500 (Central Daylight Time)
An Inventory of Losses	Judith Schalansky	read	--	Tue Apr 26 2022 08:41:11 GMT-0500 (Central Daylight Time)
Long Live the Post Horn!	Vigdis Hjorth	read	--	Sun Mar 27 2022 23:25:35 GMT-0500 (Central Daylight Time)
Selected Poems	Gwendolyn Brooks	read	Wed Feb 23 2022 09:36:56 GMT-0600 (Central Standard Time)	Thu Mar 24 2022 19:00:00 GMT-0500 (Central Daylight Time)
Mason & Dixon	Thomas Pynchon	read	Wed Jan 26 2022 20:29:26 GMT-0600 (Central Standard Time)	Sun Mar 20 2022 19:00:00 GMT-0500 (Central Daylight Time)
Dance the Eagle to Sleep	Marge Piercy	read	Thu Jan 20 2022 20:44:44 GMT-0600 (Central Standard Time)	Wed Jan 26 2022 11:00:36 GMT-0600 (Central Standard Time)
How to Blow Up a Pipeline	Andreas Malm	read	Wed Jan 19 2022 15:40:48 GMT-0600 (Central Standard Time)	Wed Jan 19 2022 18:00:00 GMT-0600 (Central Standard Time)
Black Leopard, Red Wolf (The Dark Star Trilogy, #1)	TKTK	read	Sun Jul 04 2021 08:30:53 GMT-0500 (Central Daylight Time)	Tue Jan 18 2022 14:29:37 GMT-0600 (Central Standard Time)
Black Leopard, Red Wolf	Marlon James	read	--	Mon Jan 17 2022 18:00:00 GMT-0600 (Central Standard Time)
The Long Ships	Frans G. Bengtsson	read	Sat Jan 01 2022 20:42:47 GMT-0600 (Central Standard Time)	Fri Jan 14 2022 09:45:02 GMT-0600 (Central Standard Time)
The Ways of White Folks	Langston Hughes	read	Sun Dec 26 2021 22:02:13 GMT-0600 (Central Standard Time)	Fri Dec 31 2021 14:45:34 GMT-0600 (Central Standard Time)
Homage to Catalonia	TKTK	read	Wed Dec 22 2021 09:57:09 GMT-0600 (Central Standard Time)	Sun Dec 26 2021 17:13:29 GMT-0600 (Central Standard Time)
Homage to Catalonia (Collins Classics)	George Orwell	read	--	Sun Dec 26 2021 17:02:54 GMT-0600 (Central Standard Time)
Breaking Things at Work	Gavin Mueller	read	--	Tue Dec 21 2021 10:42:38 GMT-0600 (Central Standard Time)
Breaking Things at Work: The Luddites Are Right About Why You Hate Your Job	TKTK	read	Thu Dec 16 2021 02:00:00 GMT-0600 (Central Standard Time)	Tue Dec 21 2021 10:42:38 GMT-0600 (Central Standard Time)
Drive Your Plow Over the Bones of the Dead	Olga Tokarczuk	read	Sun Nov 28 2021 13:34:48 GMT-0600 (Central Standard Time)	Wed Dec 15 2021 12:33:59 GMT-0600 (Central Standard Time)
The Book of Ten Nights and a Night: Eleven Stories	John Barth	read	Mon Nov 08 2021 20:54:21 GMT-0600 (Central Standard Time)	Fri Nov 26 2021 18:00:00 GMT-0600 (Central Standard Time)
Ways of Seeing	John Berger	read	Mon Nov 01 2021 08:01:45 GMT-0500 (Central Daylight Time)	Sun Nov 07 2021 18:16:41 GMT-0600 (Central Standard Time)
The Cyberiad: Fables for the Cybernetic Age	Stanisław Lem	read	Tue Oct 12 2021 09:46:59 GMT-0500 (Central Daylight Time)	Sun Oct 31 2021 15:39:07 GMT-0500 (Central Daylight Time)
A Nation of Women: An Early Feminist Speaks Out	Luisa Capetillo	read	Mon Sep 20 2021 06:06:44 GMT-0500 (Central Daylight Time)	Tue Oct 12 2021 08:40:22 GMT-0500 (Central Daylight Time)
The Glass Hotel	Emily St. John Mandel	read	Tue Sep 28 2021 08:23:44 GMT-0500 (Central Daylight Time)	Wed Oct 06 2021 07:58:45 GMT-0500 (Central Daylight Time)
Civilizations	Laurent Binet	read	Wed Sep 01 2021 14:26:21 GMT-0500 (Central Daylight Time)	Sun Sep 19 2021 17:45:49 GMT-0500 (Central Daylight Time)
Anarchist Communism	Pyotr Kropotkin	read	Tue Aug 31 2021 10:12:00 GMT-0500 (Central Daylight Time)	Wed Sep 01 2021 14:22:14 GMT-0500 (Central Daylight Time)
Beaten Down, Worked Up: The Past, Present, and Future of American Labor	Steven Greenhouse	read	Mon Aug 16 2021 12:03:03 GMT-0500 (Central Daylight Time)	Mon Aug 30 2021 18:21:57 GMT-0500 (Central Daylight Time)
Utopia	Thomas More	read	Mon Aug 09 2021 16:14:53 GMT-0500 (Central Daylight Time)	Thu Aug 12 2021 11:18:15 GMT-0500 (Central Daylight Time)
The Southern Question	Antonio Gramsci	read	Sun Aug 08 2021 14:54:42 GMT-0500 (Central Daylight Time)	Sun Aug 08 2021 17:07:05 GMT-0500 (Central Daylight Time)
The Present Age: On the Death of Rebellion	Søren Kierkegaard	read	Thu Jul 29 2021 09:10:26 GMT-0500 (Central Daylight Time)	Mon Aug 02 2021 21:34:32 GMT-0500 (Central Daylight Time)
The Art of Asking Your Boss for a Raise	Georges Perec	read	Thu Jul 22 2021 08:39:28 GMT-0500 (Central Daylight Time)	Fri Jul 23 2021 07:36:55 GMT-0500 (Central Daylight Time)
The City & the City	China Miéville	read	Sun May 30 2021 13:25:14 GMT-0500 (Central Daylight Time)	Sun Jul 04 2021 08:25:46 GMT-0500 (Central Daylight Time)
Frankenstein in Baghdad	Ahmed Saadawi	read	Fri May 14 2021 13:28:03 GMT-0500 (Central Daylight Time)	Sun May 30 2021 13:14:18 GMT-0500 (Central Daylight Time)
Babbitt	Sinclair Lewis	read	Sun Apr 25 2021 22:31:32 GMT-0500 (Central Daylight Time)	Thu May 13 2021 21:11:03 GMT-0500 (Central Daylight Time)
Narrative of the Life of Frederick Douglass	Frederick Douglass	read	Wed Apr 21 2021 08:05:49 GMT-0500 (Central Daylight Time)	Sun Apr 25 2021 22:27:41 GMT-0500 (Central Daylight Time)
Mortal Engines	Stanisław Lem	read	Sun Apr 04 2021 11:50:58 GMT-0500 (Central Daylight Time)	Tue Apr 20 2021 08:16:57 GMT-0500 (Central Daylight Time)
Work Won't Love You Back: How Devotion to Our Jobs Keeps Us Exploited, Exhausted, and Alone	TKTK	read	Sat Mar 20 2021 02:00:00 GMT-0500 (Central Daylight Time)	Sat Apr 03 2021 02:00:00 GMT-0500 (Central Daylight Time)
Fire on the Mountain	Terry Bisson	read	Thu Mar 11 2021 10:29:01 GMT-0600 (Central Standard Time)	Mon Mar 22 2021 15:53:07 GMT-0500 (Central Daylight Time)
Mules and Men	Zora Neale Hurston	read	Thu Feb 25 2021 09:05:44 GMT-0600 (Central Standard Time)	Wed Mar 10 2021 21:09:08 GMT-0600 (Central Standard Time)
Life: A User's Manual	Georges Perec	read	Wed Jan 27 2021 19:23:27 GMT-0600 (Central Standard Time)	Tue Feb 23 2021 21:42:05 GMT-0600 (Central Standard Time)
Dancer	Colum McCann	read	Sun Jan 10 2021 18:17:01 GMT-0600 (Central Standard Time)	Sat Jan 23 2021 22:42:43 GMT-0600 (Central Standard Time)
End Zone	Don DeLillo	read	Wed Jan 06 2021 08:00:42 GMT-0600 (Central Standard Time)	Fri Jan 08 2021 20:22:53 GMT-0600 (Central Standard Time)
Philosophy and the Mirror of Nature	Richard M. Rorty	read	Sat Nov 03 2018 13:29:24 GMT-0500 (Central Daylight Time)	Tue Jan 05 2021 13:24:01 GMT-0600 (Central Standard Time)
No Shortcuts: Organizing for Power in the New Gilded Age	TKTK	read	Mon Dec 28 2020 02:00:00 GMT-0600 (Central Standard Time)	Mon Jan 04 2021 02:00:00 GMT-0600 (Central Standard Time)
The Warmth of Other Suns: The Epic Story of America's Great Migration	Isabel Wilkerson	read	--	Mon Dec 28 2020 11:32:09 GMT-0600 (Central Standard Time)
The Warmth of Other Suns: the Epic Story of America's Great Migration	TKTK	read	Mon Nov 23 2020 10:32:31 GMT-0600 (Central Standard Time)	Mon Dec 28 2020 11:32:09 GMT-0600 (Central Standard Time)
Solutions and Other Problems	Allie Brosh	read	Sat Dec 19 2020 11:32:48 GMT-0600 (Central Standard Time)	Mon Dec 21 2020 19:05:23 GMT-0600 (Central Standard Time)
Hyperbole and a Half	TKTK	read	Tue Dec 08 2020 19:52:31 GMT-0600 (Central Standard Time)	Thu Dec 10 2020 08:09:59 GMT-0600 (Central Standard Time)
I Curse the River of Time	Per Petterson	read	Tue Nov 03 2020 21:15:15 GMT-0600 (Central Standard Time)	Wed Nov 18 2020 07:14:36 GMT-0600 (Central Standard Time)
Capital Is Dead. Is This Something Worse?	McKenzie Wark	read	Mon Oct 26 2020 02:00:00 GMT-0500 (Central Daylight Time)	Tue Nov 03 2020 02:00:00 GMT-0600 (Central Standard Time)
Ignorance	Milan Kundera	read	Wed Oct 21 2020 21:20:45 GMT-0500 (Central Daylight Time)	Sun Oct 25 2020 09:07:48 GMT-0500 (Central Daylight Time)
Mind of My Mind	Octavia E. Butler	read	Wed Oct 14 2020 06:17:43 GMT-0500 (Central Daylight Time)	Sun Oct 18 2020 20:49:52 GMT-0500 (Central Daylight Time)
New Dark Age	James Bridle	read	--	Mon Oct 12 2020 10:26:27 GMT-0500 (Central Daylight Time)
New Dark Age: Technology and the End of the Future	TKTK	read	Sun Oct 04 2020 23:05:09 GMT-0500 (Central Daylight Time)	Mon Oct 12 2020 10:26:27 GMT-0500 (Central Daylight Time)
Henry V	TKTK	read	Wed Sep 23 2020 18:48:07 GMT-0500 (Central Daylight Time)	Sun Oct 04 2020 23:03:40 GMT-0500 (Central Daylight Time)
The Blue World	Jack Vance	read	Mon Sep 14 2020 20:10:44 GMT-0500 (Central Daylight Time)	Sun Sep 20 2020 12:44:59 GMT-0500 (Central Daylight Time)
Simulacra and Simulation	Jean Baudrillard	read	Wed Sep 02 2020 19:30:24 GMT-0500 (Central Daylight Time)	Sun Sep 13 2020 10:14:45 GMT-0500 (Central Daylight Time)
The Gilda Stories	Jewelle L. Gómez	read	Sun Aug 16 2020 06:38:59 GMT-0500 (Central Daylight Time)	Sat Aug 29 2020 16:56:45 GMT-0500 (Central Daylight Time)
The Fire Next Time	James Baldwin	read	Sun Aug 09 2020 08:01:31 GMT-0500 (Central Daylight Time)	Sun Aug 16 2020 06:37:30 GMT-0500 (Central Daylight Time)
Picture This	Joseph Heller	read	Tue Jul 21 2020 07:20:35 GMT-0500 (Central Daylight Time)	Sat Aug 08 2020 21:03:04 GMT-0500 (Central Daylight Time)
From Hell	Alan Moore	read	Thu Jun 26 2014 20:00:16 GMT-0500 (Central Daylight Time)	Mon Jul 20 2020 06:50:28 GMT-0500 (Central Daylight Time)
The Stranger	TKTK	read	Wed Jul 15 2020 07:49:32 GMT-0500 (Central Daylight Time)	Mon Jul 20 2020 06:50:28 GMT-0500 (Central Daylight Time)
Black Boy	Richard Wright	read	Sat Jul 04 2020 15:43:36 GMT-0500 (Central Daylight Time)	Tue Jul 14 2020 21:18:55 GMT-0500 (Central Daylight Time)
Metamorphoses	Ovid	read	Sun May 24 2020 11:29:11 GMT-0500 (Central Daylight Time)	Wed Jul 01 2020 07:31:29 GMT-0500 (Central Daylight Time)
Recursion	Blake Crouch	read	Thu May 21 2020 09:12:08 GMT-0500 (Central Daylight Time)	Sat May 23 2020 17:08:48 GMT-0500 (Central Daylight Time)
Commodify Your Dissent: Salvos from The Baffler	Thomas Frank	read	Mon May 11 2020 09:26:46 GMT-0500 (Central Daylight Time)	Tue May 19 2020 07:56:51 GMT-0500 (Central Daylight Time)
Swamplandia!	TKTK	read	Mon Apr 27 2020 17:14:15 GMT-0500 (Central Daylight Time)	Sun May 10 2020 08:06:55 GMT-0500 (Central Daylight Time)
Exhalation	TKTK	read	Sun Apr 19 2020 20:18:33 GMT-0500 (Central Daylight Time)	Mon Apr 27 2020 07:20:28 GMT-0500 (Central Daylight Time)
Vineland	Thomas Pynchon	read	Wed Apr 08 2020 20:07:37 GMT-0500 (Central Daylight Time)	Sun Apr 19 2020 14:22:59 GMT-0500 (Central Daylight Time)
The Star Diaries: Further Reminiscences of Ijon Tichy	Stanisław Lem	read	Mon Mar 30 2020 07:54:29 GMT-0500 (Central Daylight Time)	Wed Apr 08 2020 06:37:08 GMT-0500 (Central Daylight Time)
Shark Drunk: The Art of Catching a Large Shark from a Tiny Rubber Dinghy in a Big Ocean	Morten A. Strøksnes	read	Sat Mar 21 2020 14:41:09 GMT-0500 (Central Daylight Time)	Sun Mar 29 2020 14:36:59 GMT-0500 (Central Daylight Time)
The Martian Chronicles	Ray Bradbury	read	Tue Mar 10 2020 20:28:28 GMT-0500 (Central Daylight Time)	Sat Mar 21 2020 14:37:00 GMT-0500 (Central Daylight Time)
Island	Aldous Huxley	read	Wed Feb 19 2020 08:33:11 GMT-0600 (Central Standard Time)	Mon Mar 09 2020 07:52:00 GMT-0500 (Central Daylight Time)
Fire the Bastards!	Jack Green	read	Mon Feb 17 2020 09:03:34 GMT-0600 (Central Standard Time)	Wed Feb 19 2020 08:31:47 GMT-0600 (Central Standard Time)
The Gulf War Did Not Take Place	Jean Baudrillard	read	Fri Feb 14 2020 06:31:46 GMT-0600 (Central Standard Time)	Sun Feb 16 2020 09:19:58 GMT-0600 (Central Standard Time)
Primeval and Other Times	Olga Tokarczuk	read	Tue Feb 04 2020 20:59:30 GMT-0600 (Central Standard Time)	Thu Feb 13 2020 06:28:06 GMT-0600 (Central Standard Time)
Who Fears Death (Who Fears Death, #1)	Nnedi Okorafor	read	Tue Jan 14 2020 06:48:22 GMT-0600 (Central Standard Time)	Tue Feb 04 2020 20:44:13 GMT-0600 (Central Standard Time)
The Third Policeman	TKTK	read	Wed Oct 10 2012 23:12:36 GMT-0500 (Central Daylight Time)	Thu Jan 30 2020 22:04:40 GMT-0600 (Central Standard Time)
The Waste Land and Other Writings	T.S. Eliot	read	Mon Jan 06 2020 11:23:53 GMT-0600 (Central Standard Time)	Tue Jan 28 2020 04:59:59 GMT-0600 (Central Standard Time)
The Recognitions	William Gaddis	read	Sun Sep 29 2019 15:07:12 GMT-0500 (Central Daylight Time)	Mon Jan 13 2020 07:25:22 GMT-0600 (Central Standard Time)
Eichmann in Jerusalem: A Report on the Banality of Evil	Hannah Arendt	read	Sun Nov 10 2019 10:39:28 GMT-0600 (Central Standard Time)	Mon Jan 06 2020 07:41:27 GMT-0600 (Central Standard Time)
The Glass Menagerie	Tennessee Williams	read	Thu Dec 26 2019 21:28:51 GMT-0600 (Central Standard Time)	Thu Dec 26 2019 22:49:06 GMT-0600 (Central Standard Time)
The Year of the Flood (MaddAddam, #2)	TKTK	read	Thu Nov 02 2017 17:55:02 GMT-0500 (Central Daylight Time)	Thu Oct 17 2019 07:09:01 GMT-0500 (Central Daylight Time)
The Ghost in the Shell Volume 1.5	Shirow Masamune	read	--	Mon Sep 23 2019 21:40:00 GMT-0500 (Central Daylight Time)
The Ghost in the Shell 1.5	TKTK	read	Sun Sep 22 2019 07:16:41 GMT-0500 (Central Daylight Time)	Mon Sep 23 2019 21:40:00 GMT-0500 (Central Daylight Time)
Gulliver's Travels	Jonathan Swift	read	Thu Sep 05 2019 00:47:00 GMT-0500 (Central Daylight Time)	Sun Sep 22 2019 07:06:55 GMT-0500 (Central Daylight Time)
Réparer les vivants	TKTK	read	Mon Jul 22 2019 22:22:03 GMT-0500 (Central Daylight Time)	Wed Sep 04 2019 11:01:31 GMT-0500 (Central Daylight Time)
Northlanders Book 2: The Icelandic Saga (Northlanders, Book 2)	Brian Wood	read	Wed Aug 07 2019 22:28:37 GMT-0500 (Central Daylight Time)	Wed Aug 07 2019 22:28:37 GMT-0500 (Central Daylight Time)
Billy Budd, Sailor	Herman Melville	read	Tue Jul 16 2019 21:15:00 GMT-0500 (Central Daylight Time)	Mon Jul 22 2019 20:40:10 GMT-0500 (Central Daylight Time)
Less	Andrew Sean Greer	read	Tue Jun 25 2019 21:23:12 GMT-0500 (Central Daylight Time)	Tue Jul 16 2019 20:09:58 GMT-0500 (Central Daylight Time)
Slouching Towards Bethlehem	Joan Didion	read	Mon Jun 10 2019 02:00:00 GMT-0500 (Central Daylight Time)	Tue Jun 25 2019 02:00:00 GMT-0500 (Central Daylight Time)
Under the Glacier	Halldór Laxness	read	Sun May 19 2019 18:01:29 GMT-0500 (Central Daylight Time)	Fri Jun 07 2019 17:07:28 GMT-0500 (Central Daylight Time)
Flights	Olga Tokarczuk	read	Fri Apr 26 2019 09:34:47 GMT-0500 (Central Daylight Time)	Sun May 19 2019 13:00:18 GMT-0500 (Central Daylight Time)
Fiasco	Stanisław Lem	read	Sun Apr 14 2019 14:05:42 GMT-0500 (Central Daylight Time)	Mon Apr 22 2019 08:59:24 GMT-0500 (Central Daylight Time)
Till We Have Faces	TKTK	read	Wed Feb 06 2019 08:27:32 GMT-0600 (Central Standard Time)	Sun Feb 24 2019 16:52:23 GMT-0600 (Central Standard Time)
Saga, Volume 9	TKTK	read	Sun Feb 03 2019 07:27:48 GMT-0600 (Central Standard Time)	Sun Feb 03 2019 08:10:34 GMT-0600 (Central Standard Time)
